"SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1/"
"Per capita personal consumption expenditures (PCE) by state (Dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"00000","United States",20308,21306,22519,23983,24823,25550,26682,28114,29674,31092,32356,33049,32243,33170,34337,35196,35954,37212,38235,39289,40720,42570,43946,42635
"01000","Alabama",17645,18272,19194,20199,20912,21745,22719,23980,25355,26312,27290,27658,27044,27783,28616,29138,29810,30697,31465,32284,33491,34928,36217,35859
"02000","Alaska",23175,24071,25381,27199,28551,30198,31649,33081,34956,36276,38108,39547,39219,40053,41756,42651,42988,44529,45362,46080,47556,49747,51499,48739
"04000","Arizona",20343,21230,22251,23507,24112,24748,25903,27463,29091,30543,31554,31375,30081,30663,31411,31988,32553,33595,34374,35194,36676,38167,39450,38684
"05000","Arkansas",16124,16914,17893,18936,19677,20332,21276,22361,23646,24593,25555,26219,25824,26612,27628,28291,28810,29772,30658,31550,32603,33772,34568,34479
"06000","California",20829,21730,23000,24661,25528,26326,27466,29071,30892,32680,34419,35148,33695,34576,35755,36921,37724,39166,40648,42178,44209,46545,48722,46636
"08000","Colorado",22252,23421,25016,26946,27754,28126,29120,30585,32006,33336,34682,35273,34219,34809,35890,36467,37529,39079,40553,42114,43899,45613,47478,46642
"09000","Connecticut",24754,26242,27876,29557,30645,31635,33003,34895,36880,38604,40101,40946,39730,40757,41960,42876,43700,45193,46266,47462,48968,50795,51967,50437
"10000","Delaware",23133,24336,25668,27049,28209,29299,30760,32405,34126,35303,36804,37287,36401,37546,38709,39318,39970,40903,41928,42694,43780,45761,46960,45434
"11000","District of Columbia",33837,34952,36916,39154,40272,42115,44734,47942,50683,52795,55240,56910,54734,55994,57168,57787,58775,60147,61367,62742,64599,67644,69633,65169
"12000","Florida",22097,23130,24165,25696,26460,26845,27884,29493,31232,33104,34345,34548,33333,34188,35423,36277,36959,38416,39717,40552,41680,43616,44991,43615
"13000","Georgia",19750,20519,21672,22935,23598,24123,25125,26254,27684,28633,29507,29589,28475,29190,30236,30936,31800,33110,34067,35108,36515,38091,39193,38165
"15000","Hawaii",22067,22678,23629,25083,25801,26446,27901,29357,31370,33062,34375,35182,34562,35168,36213,37161,38025,39287,40096,41140,42881,45281,47313,45080
"16000","Idaho",17390,17999,18921,20072,20658,21162,22113,23254,24646,26073,27106,27265,26173,26805,27653,28307,29070,30036,30908,31891,33330,35031,35765,35459
"17000","Illinois",21263,22334,23404,25035,25778,26440,27510,28859,30426,31898,33304,33992,33182,34173,35334,36133,36825,38187,39237,40446,41927,43975,45338,43981
