GeoName,2018:Q1,2019:Q1,2020:Q1,2021:Q1,2022:Q1
Alabama,200256.3,202231.1,202069.1,202598.8,206879.7
Alaska,53399.8,52889.5,52876.1,49820.2,49643
Arizona,311176.5,319443.4,324209.9,331004.1,341753.8
Arkansas,115453.5,116073.3,116945.8,119313.5,121991.1
California,2601862.5,2693526.5,2739612.3,2799129.2,2939039.8
Colorado,338845.7,349998.6,357983.5,357382.7,371304.9
Connecticut,249498.2,251236.3,245664.6,240712.2,250200.7
Delaware,60748.3,63493.3,63227.4,62865.4,65644.9
District of Columbia,122470.1,123440.2,125651.9,123514.9,127280.3
Florida,936276.2,963421.6,968139.8,978444.2,1031018.3
Georgia,531915,550132.9,551631.3,554992.1,579715.5
Hawaii,79457.5,78642.6,77374.7,70653.8,75302.1
Idaho,70111.3,72936.5,74672.5,77265.9,78874.1
Illinois,770034.3,776071.6,763614.3,766829,779918
Indiana,335177.8,335558.8,338137.4,348472.4,355877.9
Iowa,172014.6,170621.5,171962.8,178621.7,179475.3
Kansas,157250.1,157922.3,160610.5,162059.7,162199.5
Kentucky,186677.3,189494.7,190903.4,192634.7,195676
Louisiana,236742,235482.2,231935.4,224325.9,228002.3
Maine,57838.7,58897.3,59882.6,60933.5,62682.2
Maryland,367493.3,367089.8,365726.5,364834,367288.8
Massachusetts,497091.8,512866.5,516373.4,517170.8,543621.9
Michigan,467378.7,464811.6,462839.6,461249.3,481860.6
Minnesota,334733.4,337632,336437.6,337184.1,349526.6
Mississippi,101088.3,100563.7,102318.6,103180.8,104695.4
Missouri,283756.5,288815.9,289267.7,292949.7,297727.8
Montana,46868.7,46575.4,46632.8,48651.5,49284.8
Nebraska,117281,116680.8,119356.1,124849.5,122669.5
Nevada,149483.8,155161.1,157787.4,149987,159487.4
New Hampshire,75444.9,77068,77475.9,78919.7,83979.7
New Jersey,545151,556095.8,561934.1,554377.6,569538.7
New Mexico,90104.2,92593.1,96816.7,94088.2,95344.7
New York,1447027.8,1480721.8,1478701.6,1463162.2,1510975.9
North Carolina,500799.4,509780.8,512890.8,523298.7,542101.9
North Dakota,55478.3,55511.2,57212.1,55427.5,54631.1
Ohio,593836.2,605998.5,607554.1,609231.7,620676.6
Oklahoma,195984.5,199115.2,198173.5,192114.5,196962.3
Oregon,212425.6,217430.4,219990.1,220592.9,229453
Pennsylvania,699585,709316.3,711885.6,702716,722447.1
Rhode Island,52330.6,53058.4,52786.9,52272.8,55367.9
South Carolina,205922.9,211188.1,211784.1,217344.4,223923.6
South Dakota,47001.9,46688,47582.8,48924.2,48545.5
Tennessee,321019.1,326274.8,329142.7,337611,350673.9
Texas,1707894.4,1756331.9,1783603,1786515.2,1870873.7
Utah,160523.3,169788.2,171099.8,180194.6,185181.2
Vermont,29650.7,29939.4,29949,29410.3,30184.4
Virginia,474152.5,483144.2,484783.2,485850,498831.1
Washington,507180.6,530475,539701.9,553143.8,577248.6
West Virginia,71967.4,72379.7,71676.2,71643.6,71711.8
Wisconsin,297847.6,301770.3,298653.8,300025.5,306547.9
Wyoming,37802.1,38191.8,38285.8,36425.2,36046.6
