GeoName,2017,2018,2019,2020
Alabama,2649812,2692383,2712704,2612469
Alaska,455705,454871,454742,425953
Arizona,3740003,3854506,3929402,3826162
Arkansas,1641045,1658921,1664839,1608843
California,23549113,24078517,24227563,22743902
Colorado,3760540,3857800,3893927,3737075
Connecticut,2300011,2314371,2298480,2162427
Delaware,584854,597018,602908,570469
District of Columbia,903304,914601,915470,860807
Florida,12097885,12555591,12761508,12148603
Georgia,6127762,6287012,6397862,6104727
Hawaii,920697,924093,913791,802462
Idaho,1007893,1041011,1063670,1052254
Illinois,7822427,7880083,7859352,7388506
Indiana,3903858,3963401,3971608,3788622
Iowa,2062237,2076201,2071569,1987117
Kansas,1914179,1926242,1925204,1851247
Kentucky,2520149,2545750,2549760,2430210
Louisiana,2695329,2727409,2720019,2534808
Maine,834355,843990,842789,801781
Maryland,3695331,3750678,3742829,3536398
Massachusetts,4778424,4854672,4873148,4522091
Michigan,5631306,5714498,5713451,5266334
Minnesota,3735312,3776541,3783410,3558042
Mississippi,1592268,1602960,1607794,1542209
Missouri,3735460,3776709,3779878,3626303
Montana,674522,684109,686572,668310
Nebraska,1317761,1330165,1329016,1285838
Nevada,1780418,1848911,1884448,1713047
New Hampshire,882318,892444,890266,846181
New Jersey,5447903,5549280,5569985,5166206
New Mexico,1095282,1110508,1116960,1054758
New York,12389884,12652841,12743035,11581930
North Carolina,5918963,6055092,6150375,5908402
North Dakota,573149,578319,581932,550696
Ohio,6987207,7066115,7071693,6706071
Oklahoma,2291751,2311760,2309792,2225399
Oregon,2516476,2570224,2575104,2451970
Pennsylvania,7662558,7764044,7774724,7281565
Rhode Island,639095,648805,651014,602589
South Carolina,2759410,2843727,2882927,2749547
South Dakota,601286,610122,610822,594556
Tennessee,4033801,4120207,4168956,4017452
Texas,17102378,17606363,17902704,17158640
Utah,1995156,2069443,2102910,2079706
Vermont,436289,438071,433933,402251
Virginia,5229033,5298892,5327163,5100799
Washington,4431999,4538137,4593480,4385827
West Virginia,889027,897525,881303,835410
Wisconsin,3679235,3720737,3719266,3533538
Wyoming,398940,404530,408143,386291
