Table with row headers in column B and NAICS codes in column A with column headers in row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Annual Sales of U.S. Retail Firms by Kind of Business: 1992-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Estimates are shown in millions of dollars and are based on data from the Annual Retail Trade Survey.  Estimates have been adjusted using final results of the 2017 Economic Census.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAICS Code,Kind of Business,2020,2019r,2018r,2017r,2016r,2015r,2014r,2013r,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Retail sales, total ………………………………………...…………………………………………………………………………………………………","5,570,393","5,402,272","5,255,425","5,040,214","4,848,096","4,726,111","4,640,651","4,459,238","4,302,229","4,102,952","3,818,048","3,612,471","3,935,315","3,995,182","3,871,573","3,689,283","3,473,048","3,262,731","3,128,552","3,062,268","2,983,276","2,803,090","2,581,762","2,468,767","2,361,549","2,217,616","2,105,235","1,937,628","1,811,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Retail sales, total (excl. motor vehicle and parts dealers) ………………………………………...…………………………………………………………………………………………………","4,362,089","4,164,528","4,050,484","3,854,518","3,696,376","3,622,590","3,613,911","3,497,181","3,415,735","3,290,014","3,075,135","2,940,699","3,149,450","3,085,043","2,971,576","2,800,976","2,606,676","2,421,143","2,309,741","2,246,689","2,187,066","2,038,886","1,893,347","1,814,950","1,734,042","1,637,901","1,564,094","1,464,712","1,392,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GAFO1 ………………………………………...…………………………………………………………………………………………………,"1,229,215","1,306,269","1,298,225","1,274,977","1,267,817","1,262,841","1,241,577","1,213,826","1,191,843","1,155,666","1,114,374","1,088,197","1,136,376","1,143,426","1,110,155","1,059,599","1,003,891","946,114","912,707","882,700","862,739","815,665","757,936","713,387","682,613","650,040","616,347","570,782","533,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,    Motor vehicle and parts dealers ………………………………………...…………………………………………………………………………………………………,"1,208,304","1,237,744","1,204,941","1,185,696","1,151,720","1,103,521","1,026,740","962,057","886,494","812,938","742,913","671,772","785,865","910,139","899,997","888,307","866,372","841,588","818,811","815,579","796,210","764,204","688,415","653,817","627,507","579,715","541,141","472,916","418,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4411,   Automobile dealers ………………………………………...…………………………………………………………………………………………………,"1,023,172","1,065,549","1,035,685","1,020,587","991,812","949,238","880,991","821,791","752,778","684,505","621,180","551,996","649,505","767,403","760,798","753,071","738,074","722,260","706,682","707,676","687,782","661,820","593,501","564,658","543,949","501,684","468,100","407,126","358,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44111,New car dealers ………………………………………...…………………………………………………………………………………………………,"905,494","942,836","918,326","906,487","883,452","848,167","788,883","737,082","672,550","608,788","549,473","486,565","575,593","687,707","685,622","681,947","670,553","659,205","645,759","649,413","630,123","606,167","542,559","518,972","502,340","464,642","435,661","379,522","333,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44112,Used car dealers ………………………………………...…………………………………………………………………………………………………,"117,678","122,713","117,359","114,100","108,360","101,071","92,108","84,709","80,228","75,717","71,707","65,431","73,912","79,696","75,176","71,124","67,521","63,055","60,923","58,263","57,659","55,653","50,942","45,686","41,609","37,042","32,439","27,604","24,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4412,Other motor vehicle dealers ………………………………………...…………………………………………………………………………………………………,"87,149","75,407","74,309","71,666","67,255","63,386","58,941","54,737","49,581","45,469","43,794","45,550","60,042","68,001","66,924","65,171","61,515","55,112","49,507","46,811","44,989","39,735","34,915","30,615","27,994","26,128","23,801","20,980","18,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4413,"Automotive parts, access., and tire stores ………………………………………...…………………………………………………………………………………………………","97,983","96,788","94,947","93,443","92,653","90,897","86,808","85,529","84,135","82,964","77,939","74,226","76,318","74,735","72,275","70,065","66,783","64,216","62,622","61,092","63,439","62,649","59,999","58,544","55,564","51,903","49,240","44,810","41,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Furniture and home furnishings stores ………………………………………...…………………………………………………………………………………………………,"113,023","120,650","119,026","115,309","112,320","107,884","100,551","95,753","91,542","87,586","85,205","84,749","98,720","111,144","112,795","109,120","103,757","96,736","94,438","91,484","91,170","84,294","77,412","72,715","67,707","63,470","60,416","55,456","52,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
