"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"16773","259","8600000US00601","ZCTA5 00601"
"37083","149","8600000US00602","ZCTA5 00602"
"45652","784","8600000US00603","ZCTA5 00603"
"6231","337","8600000US00606","ZCTA5 00606"
"26502","137","8600000US00610","ZCTA5 00610"
"58771","1215","8600000US00612","ZCTA5 00612"
"9688","997","8600000US00616","ZCTA5 00616"
"23771","279","8600000US00617","ZCTA5 00617"
"6505","1014","8600000US00622","ZCTA5 00622"
"41472","1014","8600000US00623","ZCTA5 00623"
"21031","408","8600000US00624","ZCTA5 00624"
"31066","*****","8600000US00627","ZCTA5 00627"
"1481","267","8600000US00631","ZCTA5 00631"
"21957","150","8600000US00637","ZCTA5 00637"
"16018","384","8600000US00638","ZCTA5 00638"
"26383","435","8600000US00641","ZCTA5 00641"
"36538","98","8600000US00646","ZCTA5 00646"
"5708","761","8600000US00647","ZCTA5 00647"
"13869","581","8600000US00650","ZCTA5 00650"
"3624","596","8600000US00652","ZCTA5 00652"
"10117","761","8600000US00653","ZCTA5 00653"
"17984","147","8600000US00656","ZCTA5 00656"
"39561","*****","8600000US00659","ZCTA5 00659"
"15731","*****","8600000US00660","ZCTA5 00660"
"39017","578","8600000US00662","ZCTA5 00662"
"14405","186","8600000US00664","ZCTA5 00664"
"22721","149","8600000US00667","ZCTA5 00667"
"24022","260","8600000US00669","ZCTA5 00669"
"8051","65","8600000US00670","ZCTA5 00670"
"38218","311","8600000US00674","ZCTA5 00674"
"35621","74","8600000US00676","ZCTA5 00676"
"13949","114","8600000US00677","ZCTA5 00677"
"24997","519","8600000US00678","ZCTA5 00678"
"44904","1545","8600000US00680","ZCTA5 00680"
"30212","1389","8600000US00682","ZCTA5 00682"
"28710","584","8600000US00683","ZCTA5 00683"
"36546","417","8600000US00685","ZCTA5 00685"
"30652","*****","8600000US00687","ZCTA5 00687"
"11355","873","8600000US00688","ZCTA5 00688"
"5900","784","8600000US00690","ZCTA5 00690"
"34857","688","8600000US00692","ZCTA5 00692"
"52220","715","8600000US00693","ZCTA5 00693"
"32","51","8600000US00694","ZCTA5 00694"
"34449","205","8600000US00698","ZCTA5 00698"
"25619","751","8600000US00703","ZCTA5 00703"
"7641","1008","8600000US00704","ZCTA5 00704"
"22289","259","8600000US00705","ZCTA5 00705"
"10514","90","8600000US00707","ZCTA5 00707"
"17413","139","8600000US00714","ZCTA5 00714"
"2846","615","8600000US00715","ZCTA5 00715"
"26433","1369","8600000US00716","ZCTA5 00716"
"15115","986","8600000US00717","ZCTA5 00717"
"25543","492","8600000US00718","ZCTA5 00718"
"28048","228","8600000US00719","ZCTA5 00719"
"20387","166","8600000US00720","ZCTA5 00720"
"16645","90","8600000US00723","ZCTA5 00723"
"79395","2121","8600000US00725","ZCTA5 00725"
"51772","1950","8600000US00727","ZCTA5 00727"
"39204","1561","8600000US00728","ZCTA5 00728"
"50721","587","8600000US00729","ZCTA5 00729"
"29075","1485","8600000US00730","ZCTA5 00730"
"12108","1145","8600000US00731","ZCTA5 00731"
"11593","492","8600000US00735","ZCTA5 00735"
"45773","874","8600000US00736","ZCTA5 00736"
"28329","450","8600000US00738","ZCTA5 00738"
"35801","569","8600000US00739","ZCTA5 00739"
"1934","450","8600000US00740","ZCTA5 00740"
"3911","615","8600000US00741","ZCTA5 00741"
"49472","284","8600000US00745","ZCTA5 00745"
"20662","988","8600000US00751","ZCTA5 00751"
"36309","215","8600000US00754","ZCTA5 00754"
"21474","*****","8600000US00757","ZCTA5 00757"
"8402","149","8600000US00765","ZCTA5 00765"
"22187","147","8600000US00766","ZCTA5 00766"
"32867","*****","8600000US00767","ZCTA5 00767"
"38500","77","8600000US00769","ZCTA5 00769"
"36388","453","8600000US00771","ZCTA5 00771"
"18919","565","8600000US00772","ZCTA5 00772"
"17924","*****","8600000US00773","ZCTA5 00773"
"1326","280","8600000US00775","ZCTA5 00775"
"39580","587","8600000US00777","ZCTA5 00777"
"46720","403","8600000US00778","ZCTA5 00778"
"10887","1169","8600000US00780","ZCTA5 00780"
"17310","485","8600000US00782","ZCTA5 00782"
"32372","295","8600000US00783","ZCTA5 00783"
"38894","362","8600000US00784","ZCTA5 00784"
"292","256","8600000US00786","ZCTA5 00786"
"47675","615","8600000US00791","ZCTA5 00791"
"28088","97","8600000US00794","ZCTA5 00794"
"43475","574","8600000US00795","ZCTA5 00795"
"7438","881","8600000US00901","ZCTA5 00901"
"178","113","8600000US00906","ZCTA5 00906"
"15641","1137","8600000US00907","ZCTA5 00907"
"4855","611","8600000US00909","ZCTA5 00909"
"7157","706","8600000US00911","ZCTA5 00911"
"5868","748","8600000US00912","ZCTA5 00912"
"7225","941","8600000US00913","ZCTA5 00913"
"24079","1253","8600000US00915","ZCTA5 00915"
"17836","1371","8600000US00917","ZCTA5 00917"
"14902","1249","8600000US00918","ZCTA5 00918"
"16157","1137","8600000US00920","ZCTA5 00920"
"30663","1644","8600000US00921","ZCTA5 00921"
"23811","1393","8600000US00923","ZCTA5 00923"
"46690","2327","8600000US00924","ZCTA5 00924"
"6365","772","8600000US00925","ZCTA5 00925"
"89327","2742","8600000US00926","ZCTA5 00926"
"13490","1215","8600000US00927","ZCTA5 00927"
"114","127","8600000US00934","ZCTA5 00934"
"802","850","8600000US00936","ZCTA5 00936"
"71371","1016","8600000US00949","ZCTA5 00949"
"0","14","8600000US00950","ZCTA5 00950"
"0","14","8600000US00951","ZCTA5 00951"
"7324","862","8600000US00952","ZCTA5 00952"
"70997","820","8600000US00953","ZCTA5 00953"
"60554","2106","8600000US00956","ZCTA5 00956"
"37977","1873","8600000US00957","ZCTA5 00957"
"46116","2061","8600000US00959","ZCTA5 00959"
"1793","246","8600000US00960","ZCTA5 00960"
"28638","1288","8600000US00961","ZCTA5 00961"
"18274","652","8600000US00962","ZCTA5 00962"
"6901","654","8600000US00965","ZCTA5 00965"
"15139","1289","8600000US00966","ZCTA5 00966"
"3603","459","8600000US00968","ZCTA5 00968"
"40402","1813","8600000US00969","ZCTA5 00969"
"25443","1434","8600000US00971","ZCTA5 00971"
"57297","1476","8600000US00976","ZCTA5 00976"
"17022","1133","8600000US00979","ZCTA5 00979"
"13402","939","8600000US00982","ZCTA5 00982"
"32735","1884","8600000US00983","ZCTA5 00983"
"31388","1365","8600000US00985","ZCTA5 00985"
"52270","2162","8600000US00987","ZCTA5 00987"
"16064","941","8600000US01001","ZCTA5 01001"
"30099","613","8600000US01002","ZCTA5 01002"
"11588","568","8600000US01003","ZCTA5 01003"
"5166","292","8600000US01005","ZCTA5 01005"
"15080","21","8600000US01007","ZCTA5 01007"
"1116","169","8600000US01008","ZCTA5 01008"
"649","369","8600000US01009","ZCTA5 01009"
