Table 1. Estimated Sales of U.S. Merchant Wholesalers:  1992 through 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Sales estimates are shown in millions of dollars and are based on data from the Annual Wholesale Trade Survey.  Estimates have been adjusted using results of the 2017 Economic Census],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 NAICS Code,Data Item                                                        ,Kind of Business ,Type of Operation                                                        ,2020,2019r,2018r,2017r,2016r,2015r,2014r,2013r,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Sales,Wholesale Trade,Merchant Wholesalers,"8,037,360","8,607,066","8,630,377","8,032,209","7,510,613","7,544,582","7,878,972","7,583,631","7,303,417","6,857,633","6,063,081","5,359,303","6,300,283","5,989,445","5,664,635","5,309,113","4,892,121","4,409,973","4,194,061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Sales,Durable Goods,Merchant Wholesalers,"3,790,632","3,939,930","3,950,040","3,687,804","3,477,021","3,463,901","3,440,260","3,291,255","3,166,314","2,950,755","2,662,073","2,333,359","2,842,345","2,907,230","2,829,047","2,649,437","2,484,106","2,207,796","2,156,356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,Merchant Wholesalers,"861,589","953,696","941,089","890,332","876,515","862,659","804,897","773,040","735,139","638,656","571,659","466,771","573,205","680,684","685,603","651,714","637,155","594,678","583,806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4232,Sales,Furniture and Home Furnishings,Merchant Wholesalers,"119,716","122,658","119,676","115,061","108,523","103,304","98,553","92,452","87,079","79,979","75,089","72,551","86,877","92,477","91,638","85,670","80,445","73,952","71,428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4233,Sales,Lumber and Other Construction Materials,Merchant Wholesalers,"220,614","211,523","210,348","194,496","180,700","168,141","160,046","149,753","135,689","127,448","123,122","123,372","156,686","171,360","182,838","174,793","156,873","129,244","115,507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4234,Sales,Professional and Commercial Equipment and Supplies,Merchant Wholesalers,"642,688","650,853","634,245","598,324","570,358","549,892","531,621","513,440","497,236","494,897","486,111","455,963","486,817","485,129","465,715","457,195","442,472","415,610","406,447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42343,Sales, Computer and Computer Peripheral Equipment and Software,Merchant Wholesalers,"283,564","280,669","279,994","259,741","247,918","247,542","243,771","238,691","232,087","237,215","244,991","226,254","247,650","253,295","242,395","250,713","244,749","233,286","232,521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42345,Sales," Medical, Dental, and Hospital Equipment and Supplies",Merchant Wholesalers,"260,583","254,477","241,776","229,591","216,731","198,549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4235,Sales,Metals and Minerals (except Petroleum),Merchant Wholesalers,"194,823","238,877","252,926","220,672","192,739","214,298","246,872","233,478","244,478","237,455","193,396","155,264","246,102","227,049","219,092","192,116","168,567","119,520","117,455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
